"Date","Price","Open","High","Low","Change %"
"Jul 29, 2021","1.2444","1.2530","1.2540","1.2430","-0.66%"
"Jul 28, 2021","1.2527","1.2602","1.2606","1.2513","-0.58%"
"Jul 27, 2021","1.2600","1.2550","1.2606","1.2536","0.48%"
"Jul 26, 2021","1.2540","1.2564","1.2592","1.2525","-0.17%"
"Jul 23, 2021","1.2561","1.2567","1.2608","1.2553","-0.02%"
"Jul 22, 2021","1.2564","1.2560","1.2595","1.2527","0.10%"
"Jul 21, 2021","1.2552","1.2681","1.2731","1.2523","-0.99%"
"Jul 20, 2021","1.2677","1.2750","1.2787","1.2671","-0.56%"
"Jul 19, 2021","1.2748","1.2610","1.2809","1.2605","1.09%"
"Jul 16, 2021","1.2611","1.2593","1.2622","1.2559","0.15%"
"Jul 15, 2021","1.2592","1.2508","1.2615","1.2499","0.69%"
"Jul 14, 2021","1.2506","1.2511","1.2527","1.2429","-0.03%"
"Jul 13, 2021","1.2510","1.2454","1.2541","1.2440","0.47%"
"Jul 12, 2021","1.2451","1.2442","1.2515","1.2442","0.04%"
"Jul 09, 2021","1.2446","1.2532","1.2558","1.2441","-0.69%"
"Jul 08, 2021","1.2532","1.2478","1.2592","1.2473","0.44%"
"Jul 07, 2021","1.2477","1.2463","1.2521","1.2420","0.12%"
"Jul 06, 2021","1.2462","1.2342","1.2495","1.2300","1.01%"
"Jul 05, 2021","1.2338","1.2320","1.2372","1.2309","0.15%"
"Jul 02, 2021","1.2319","1.2439","1.2451","1.2306","-0.94%"
"Jul 01, 2021","1.2436","1.2399","1.2447","1.2362","0.34%"
