"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 25, 2021","5,738.56","5,430.45","5,762.47","5,387.48","0.40K","5.67%"
"Nov 24, 2021","5,430.45","5,516.40","5,546.64","5,300.00","0.26K","-1.56%"
"Nov 23, 2021","5,516.40","5,199.03","5,543.60","5,168.00","0.31K","6.10%"
"Nov 22, 2021","5,199.03","5,354.02","5,430.83","5,118.66","0.65K","-2.89%"
"Nov 21, 2021","5,354.02","5,550.52","5,572.62","5,337.55","0.17K","-3.54%"
"Nov 20, 2021","5,550.52","5,420.65","5,582.56","5,300.00","0.21K","2.40%"
"Nov 19, 2021","5,420.65","5,015.75","5,459.98","4,978.40","0.69K","8.07%"
"Nov 18, 2021","5,015.75","5,415.43","5,480.18","4,865.48","0.83K","-7.37%"
"Nov 17, 2021","5,415.07","5,311.00","5,425.68","5,100.00","0.48K","1.96%"
"Nov 16, 2021","5,311.00","5,680.72","5,680.72","5,173.50","0.71K","-6.69%"
"Nov 15, 2021","5,691.57","5,761.40","5,918.12","5,643.03","0.30K","-1.21%"
"Nov 14, 2021","5,761.40","5,815.60","5,851.26","5,629.01","0.24K","-0.93%"
"Nov 13, 2021","5,815.60","5,879.73","5,905.14","5,747.09","0.21K","-1.09%"
"Nov 12, 2021","5,879.73","5,945.87","6,056.20","5,650.96","0.26K","-1.11%"
"Nov 11, 2021","5,945.87","5,782.15","6,022.36","5,701.66","0.28K","2.83%"
"Nov 10, 2021","5,782.15","5,861.38","6,030.98","5,551.01","0.47K","-1.35%"
"Nov 09, 2021","5,861.38","5,949.99","5,975.00","5,803.14","0.51K","-1.49%"
"Nov 08, 2021","5,949.99","5,702.35","5,950.00","5,702.35","0.41K","4.34%"
"Nov 07, 2021","5,702.35","5,619.60","5,749.99","5,589.35","0.11K","1.47%"
"Nov 06, 2021","5,619.60","5,563.92","5,629.92","5,388.00","0.42K","1.00%"
"Nov 05, 2021","5,563.92","5,653.76","5,692.69","5,522.26","0.23K","-1.59%"
"Nov 04, 2021","5,653.76","5,672.83","5,674.43","5,494.30","0.22K","-0.34%"
"Nov 03, 2021","5,672.83","5,651.96","5,773.00","5,525.01","0.38K","0.39%"
"Nov 02, 2021","5,651.02","5,343.00","5,695.00","5,269.22","0.63K","5.76%"
"Nov 01, 2021","5,343.00","5,316.24","5,393.64","5,125.04","0.25K","0.50%"
"Oct 31, 2021","5,316.24","5,318.22","5,408.87","5,150.00","0.31K","-0.04%"
"Oct 30, 2021","5,318.22","5,451.90","5,469.54","5,250.00","0.24K","-2.45%"
"Oct 29, 2021","5,451.90","5,286.17","5,534.96","5,251.56","0.61K","3.14%"
